category_id,recipe_id
3,427
3,445
3,208
3,787
3,818
3,354
3,478
3,738
3,400
3,73
3,923
3,508
3,485
3,899
3,488
3,270
3,826
3,607
3,413
3,423
3,16
3,721
3,708
3,824
3,894
3,429
3,785
3,892
3,264
3,248
3,449
3,930
3,868
3,852
3,719
3,526
3,367
3,215
3,521
3,287
3,764
3,684
3,210
3,221
3,820
3,482
3,896
3,224
3,705
3,57
3,687
3,651
3,394
3,473
4,67
4,141
4,178
4,404
4,772
4,339
4,16
4,568
4,24
4,755
4,436
4,855
4,175
4,58
4,379
4,783
4,551
4,189
4,327
4,759
4,691
4,600
4,753
4,420
4,273
4,114
4,348
4,725
4,126
4,357
4,718
4,29
4,621
4,26
4,308
4,148
4,306
4,706
4,871
4,858
4,304
4,886
4,601
4,843
4,761
4,609
4,615
4,302
4,539
4,605
4,782
4,89
4,884
4,362
4,669
4,582
4,822
4,149
4,108
4,599
4,515
4,846
4,654
4,220
4,617
4,233
4,150
4,146
4,371
4,77
4,505
4,289
4,197
4,345
4,921
4,864
4,192
4,90
4,693
4,531
4,834
4,151
4,100
4,451
4,602
4,689
4,637
4,704
4,866
4,328
4,498
4,249
4,33
4,443
4,695
4,260
4,418
4,710
4,15
4,747
4,496
4,245
4,512
4,184
4,279
4,262
4,603
4,674
4,232
4,337
4,714
4,656
4,912
4,349
4,521
4,83
4,315
4,253
4,630
4,199
4,10
4,703
4,826
4,419
4,527
4,795
4,209
4,491
4,629
4,99
4,142
4,384
4,635
4,62
4,878
4,760
4,544
4,109
4,525
4,558
4,246
4,177
4,796
4,190
4,389
4,200
4,439
4,88
4,135
4,522
4,639
4,53
4,594
4,789
4,902
4,152
4,140
4,222
4,837
4,66
4,672
4,51
4,70
4,564
4,574
4,166
4,698
4,275
4,375
4,102
4,479
4,677
4,786
4,781
4,766
4,778
4,533
4,590
4,388
4,732
4,278
4,791
4,27
4,499
4,342
4,259
4,604
4,658
4,559
4,657
4,452
4,274
4,227
4,37
4,741
4,113
4,652
4,312
4,513
4,550
4,145
4,724
4,179
4,466
4,614
4,332
4,699
4,726
4,709
4,131
4,68
4,916
4,900
4,281
4,773
4,265
4,612
4,297
4,817
4,815
4,775
4,493
4,828
4,814
4,36
4,480
4,373
4,665
4,69
4,378
4,618
4,821
4,376
4,779
4,836
4,838
4,446
4,597
4,587
4,417
4,438
4,161
4,839
4,739
4,472
4,690
4,811
4,170
4,165
5,515
5,706
5,62
5,10
5,813
5,220
5,298
5,82
5,215
5,905
5,915
5,341
5,929
5,417
5,366
5,349
5,619
5,862
5,253
5,299
5,612
5,16
5,758
5,509
5,105
5,125
5,420
5,608
7,837
7,639
7,308
7,404
7,902
7,822
7,724
7,795
7,420
7,192
7,604
7,156
7,379
7,259
8,880
8,435
8,150
8,232
8,521
8,660
8,372
8,242
8,864
8,194
8,747
8,341
8,921
8,58
8,325
8,124
8,739
8,672
8,381
8,334
8,353
8,682
8,177
8,614
8,29
8,805
8,166
8,636
8,68
8,886
8,37
8,612
8,442
8,281
8,350
8,333
8,590
8,167
8,319
8,775
8,261
8,718
8,187
8,62
8,693
8,545
8,179
6,683
6,876
6,924
6,623
6,14
6,46
6,848
6,136
6,461
6,61
6,93
6,332
6,794
6,830
6,303
6,87
6,557
6,112
6,168
6,476
6,688
6,294
6,172
6,882
6,903
6,832
6,578
6,95
6,464
6,885
6,475
6,310
6,909
6,765
6,230
6,231
6,288
6,84
6,647
6,538
6,410
6,534
6,55
6,403
6,804
6,462
6,727
6,450
6,7
6,645
6,577
6,235
6,555
6,455
6,632
6,391
6,143
6,238
6,19
6,931
6,810
6,528
6,258
6,481
6,173
6,382
6,387
6,346
6,97
6,829
6,702
6,742
6,305
10,811
10,746
10,234
10,502
10,763
10,434
10,96
10,854
10,390
10,793
10,75
10,870
10,398
10,683
9,503
9,89
9,701
9,813
9,546
9,280
9,663
9,782
9,117
9,103
9,928
9,641
9,260
9,18
9,631
9,904
9,206
9,662
9,495
9,870
9,392
9,237
9,791
9,338
9,254
9,223
9,207
9,282
9,888
9,424
11,135
11,893
11,840
11,315
11,132
11,878
11,608
11,421
11,660
11,42
11,121
11,518
11,176
11,574
11,242
11,385
11,510
11,567
11,92
11,921
11,267
11,895
11,734
11,609
11,492
11,479
11,690
11,682
11,236
11,743
11,679
11,595
11,265
11,770
11,777
11,255
11,752
11,442
11,302
11,244
11,553
11,1
11,167
11,380
11,187
11,436
11,62
11,693
11,393
11,915
12,756
12,865
12,25
12,214
12,5
12,457
12,592
13,670
13,768
13,107
13,897
13,721
13,301
13,17
13,324
13,914
13,930
13,210
13,248
13,713
13,427
13,653
13,687
13,25
13,164
13,487
13,812
13,607
13,651
13,423
13,806
13,389
13,307
13,139
2,838
2,351
2,153
2,428
2,897
2,857
2,809
2,700
2,271
2,208
2,154
2,370
2,257
2,627
2,345
2,384
2,511
2,502
2,862
2,354
2,859
2,532
2,203
2,201
2,722
2,913
2,600
2,863
2,383
1,358
1,671
1,59
1,195
1,596
1,408
1,217
1,908
1,678
1,435
1,680
1,11
1,442
1,216
1,842
1,336
1,54
1,380
1,196
1,780
1,98
1,545
1,122
1,573
1,280
1,552
1,507
1,613
1,896
1,411
1,809
1,74
1,198
1,64
1,106
1,325
1,536
1,119
1,911
1,42
1,20
1,76
1,537
1,187
1,92
1,807
1,720
1,861
1,686
1,744
1,867
1,299
1,261
1,514
1,160
1,851
1,730
1,208
1,859
1,1
1,427
1,364
1,798
1,356
1,636
1,163
1,696
1,334
1,489
1,248
1,318
1,918
1,694
1,927
1,799
1,806
1,424
1,831
1,932
1,823
1,50
1,155
1,628
1,575
1,793
1,156
1,169
1,524
1,682
1,326
1,470
1,523
1,622
1,105
1,63
1,80
1,454
1,413
1,532
1,320
1,2
1,497
1,679
1,292
1,548
1,285
1,705
1,919
1,167
1,104
1,78
1,626
1,291
1,586
1,797
1,57
1,634
1,904
1,572
1,731
1,159
1,653
1,257
1,241
1,487
1,570
1,8
1,520
1,206
1,800
1,132
1,352
1,193
1,298
1,363
1,39
1,469
1,580
1,840
1,215
1,9
1,81
1,852
1,201
1,228
1,188
1,620
1,879
1,30
1,562
1,331
1,85
1,675
1,812
1,6
1,425
1,818
1,317
1,322
1,740
1,662
1,355
1,133
1,421
1,749
1,824
1,340
1,787
1,255
1,147
1,223
1,41
1,764
1,185
1,554
1,441
1,661
1,211
1,579
1,751
1,330
1,269
1,849
1,745
1,396
1,845
1,157
1,738
1,750
1,887
1,158
1,205
1,125
1,516
1,914
1,290
1,377
1,598
1,808
1,45
1,805
1,535
1,509
1,585
1,360
1,237
1,872
1,394
1,307
1,351
1,713
1,581
1,194
1,676
1,116
1,369
1,268
1,643
1,880
1,473
1,593
1,385
1,226
1,503
1,49
1,448
1,344
1,295
1,414
1,869
1,123
1,242
1,712
1,576
1,263
1,180
1,323
1,43
1,370
1,121
1,204
1,835
1,670
1,734
1,23
1,386
1,560
1,86
1,251
1,802
1,453
1,415
1,459
1,471
1,400
1,894
1,293
1,844
1,134
1,771
1,4
1,191
1,483
1,641
1,508
1,758
1,219
1,569
1,561
1,666
1,608
1,685
1,431
1,368
1,271
1,784
1,13
1,144
1,530
1,91
1,432
1,277
1,182
1,708
1,213
1,571
1,931
1,463
1,863
1,757
1,94
1,816
1,556
1,631
1,82
1,591
1,827
1,350
1,663
1,627
1,252
1,729
1,381
1,737
1,309
1,38
1,611
1,860
1,321
1,354
1,785
1,659
1,296
1,12
1,735
1,247
1,409
1,224
1,162
1,715
1,111
1,426
1,236
1,243
1,343
1,607
1,529
1,890
1,210
1,207
1,154
1,929
1,803
1,928
1,776
1,728
1,34
1,458
1,467
1,895
1,79
1,28
1,495
1,286
1,120
1,901
1,743
1,71
1,752
1,853
1,488
1,372
1,777
1,915
1,638
1,504
1,402
1,341
1,272
1,478
1,862
1,748
1,923
1,433
1,833
1,422
1,681
1,875
1,22
1,392
1,907
1,606
1,930
1,788
1,254
1,922
1,117
1,566
1,412
1,31
1,565
1,881
1,456
1,240
1,847
1,21
1,898
1,893
1,138
1,266
1,101
1,920
1,153
1,506
1,335
1,588
1,644
1,202
1,868
1,889
1,640
1,511
1,692
1,905
1,129
1,717
1,171
1,583
1,256
1,316
1,313
1,440
1,35
1,395
1,48
1,212
1,73
1,486
1,841
1,40
1,115
1,563
1,625
1,183
1,667
1,407
1,359
1,770
1,110
1,44
1,445
1,60
1,687
1,700
1,264
1,646
1,650
1,333
1,239
1,584
1,72
1,203
1,314
1,891
1,697
1,3
1,492
1,103
1,477
1,716
1,444
1,367
1,338
1,468
1,673
1,405
1,925
1,139
1,501
1,485
1,128
1,181
1,792
1,707
1,719
1,244
1,648
1,225
1,500
1,65
1,723
1,397
1,484
1,874
1,401
1,329
1,124
1,906
1,218
1,762
1,850
1,56
1,518
1,460
1,137
1,465
1,910
1,127
1,664
1,616
1,18
1,374
1,767
1,118
1,510
1,270
1,801
1,774
1,52
1,769
1,526
1,393
1,610
1,633
1,541
1,892
1,668
1,825
1,897
1,733
1,553
1,47
1,883
1,482
1,406
1,494
1,917
1,250
1,416
1,474
1,319
1,174
1,899
1,888
1,449
1,589
1,926
1,790
1,819
1,437
1,229
1,130
1,283
1,649
1,490
1,542
1,711
1,813
1,768
1,540
1,282
1,547
1,543
1,624
1,651
1,287
1,383
1,399
1,365
1,32
1,655
1,430
1,595
1,300
1,186
1,353
1,311
1,736
1,428
1,284
1,347
1,642
1,276
1,913
1,701
1,877
1,546
1,549
1,754
1,567
1,820
1,519
1,873
1,361
1,267
1,447
1,517
10,939
10,965
10,949
10,934
10,943
10,947
8,959
8,952
8,798
8,973
8,942
8,955
8,109
8,938
8,960
8,962
8,933
8,966
1,956
1,951
1,960
1,968
1,937
1,938
1,959
1,942
1,574
1,684
1,961
1,935
1,941
1,954
1,945
1,967
1,974
1,950
1,957
1,949
1,972
1,936
1,970
1,948
1,946
1,939
1,940
1,971
1,958
1,944
1,943
1,947
1,966
1,965
3,940
3,962
3,941
3,109
3,574
3,957
3,955
3,952
3,933
4,962
4,934
4,973
4,964
4,955
4,798
4,952
4,933
14,969
14,963
14,953
13,940
5,574
9,949
11,941
11,967
7,976
7,978
12,975
1,619
4,856
4,977
4,976
4,978
4,979
4,975
1,980
1,989
1,983
1,987
1,990
4,366
4,988
4,982
4,984
4,985
4,986
7,988
9,983
9,980
9,157
6,981
2,990
